razon,id,fecha,primera_vez,primer_id,nombre_proyecto,url
TITULO_DUPLICADO_SIN_URL,BOA20250623039,20250623,20250422,BOA20250422036,Hibridación Fotovoltaica Almacenamiento Cartujos 2,
TITULO_DUPLICADO_SIN_URL,BOA20250623040,20250623,20250422,BOA20250422036,Hibridación Fotovoltaica Almacenamiento El Fede,
TITULO_DUPLICADO_SIN_URL,BOA20250623041,20250623,20250422,BOA20250422036,Hibridación Fotovoltaica Las Peñazas 3,
TITULO_CROSS_URL,BOLR-20250623-0,20250623,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250624039,20250624,20250422,BOA20250422036,Hibridación Fotovoltaica Almacenamiento El Muelle,
TITULO_DUPLICADO_SIN_URL,BOA20250624040,20250624,20250422,BOA20250422036,Modificación Líneas SAT 220kV Evacuación PE Hocino-Caballos I-Caballos II,
TITULO_CROSS_URL,BOLR-20250624-0,20250624,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250625-0,20250625,-,-,Parque Fotovoltaico Najerilla Solar POT,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250626031,20250626,20250604,BOA20250604024,LAAT 400 KV DC Set Cámara-Set Promotores Fuendetodos,
TITULO_DUPLICADO_SIN_URL,BOA20250626036,20250626,20250421,BOA20250421032,SET Calzadas,
TITULO_CROSS_URL,BOLR-20250626-0,20250626,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250627029,20250627,20250403,BOA20250403039,PE Elawan Fuendetodos I Híbrido,
TITULO_DUPLICADO_SIN_URL,BOA20250627030,20250627,20250403,BOA20250403039,PE Elawan Fuendetodos II Híbrido,
TITULO_DUPLICADO_SIN_URL,BOA20250627032,20250627,20250414,BOA20250414035,LAT 220 kV SET Fontanales – SET Promotores Escatrón,
TITULO_DUPLICADO_SIN_URL,BOA20250627033,20250627,20250414,BOA20250414035,LAT 220kV SET Fontanales,
TITULO_CROSS_URL,BOLR-20250627-0,20250627,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250630023,20250630,20250403,BOA20250403039,Hibridación PFV Trigeneración,
TITULO_CROSS_URL,BOLR-20250630-0,20250630,-,-,Parque Fotovoltaico Najerilla Solar POT,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250801-0,20250801,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250805022,20250805,20250421,BOA20250421033,PFV Tejerías y su infraestructura de evacuación,
TITULO_DUPLICADO_SIN_URL,BOA20250808021,20250808,20250604,BOA20250604024,"Instalación Evacuación Compartida de FV Sabiñánigo I, II, III, IV",
TITULO_DUPLICADO_SIN_URL,BOA20250818018,20250818,20250619,BOA20250619030,Parque Fotovoltaico Clarita,
TITULO_DUPLICADO_SIN_URL,BOA20250820013,20250820,20250514,BOA20250514021,PFV Rebusquillo y su infraestructura de evacuación,
TITULO_DUPLICADO_SIN_URL,BOA20250901030,20250901,20250401,BOA20250401034,Subestación 220/33 kV Alfajarín y LAT 220 kV Alfajarín-Peñaflor,
TITULO_DUPLICADO_SIN_URL,BOA20250902020,20250902,20250421,BOA20250421040,Gasoducto Transporte Secundario Inyección Biometano Cuencas Mineras,
TITULO_DUPLICADO_SIN_URL,BOA20250903023,20250903,20250422,BOA20250422036,Planta de Biometano Granja Santa Ana,
TITULO_DUPLICADO_SIN_URL,BOA20250909033,20250909,20250403,BOA20250403039,SET Graitas 30/220 kV y Línea Aérea de Alta Tensión SET Graitas – SET Pre-Rueda,
TITULO_DUPLICADO_SIN_URL,BOA20250912020,20250912,20250424,BOA20250424025,Parque Eólico Morteruelo,
TITULO_DUPLICADO_SIN_URL,BOA20250916026,20250916,20250409,BOA20250409038,Planta De Producción De Gases Renovables Esquedas,
TITULO_DUPLICADO_SIN_URL,BOA20250929014,20250929,20250616,BOA20250616018,Planta Fotovoltaica El Descubrimiento 59,
TITULO_DUPLICADO_SIN_URL,BOA20251008017,20251008,20250617,BOA20250617017,Vientos de Aragón 2,
TITULO_DUPLICADO_SIN_URL,BOA20251017029,20251017,20250428,BOA20250428024,Augusto II,
TITULO_DUPLICADO_SIN_URL,BOA20251027030,20251027,20250611,BOA20250611023,Planta Fotovoltaica Sabiñánigo VI,
TITULO_DUPLICADO_SIN_URL,BOA20251027038,20251027,20250408,BOA20250408041,Planta De Producción De Hidrógeno Verde Zaragoza,
TITULO_DUPLICADO_SIN_URL,BOA20251107027,20251107,20250429,BOA20250429024,PE La Muela II Modificación,
TITULO_DUPLICADO_SIN_URL,BOA20251110030,20251110,20250414,BOA20250414035,Parque Fotovoltaico Mas de Pinada,
TITULO_CROSS_URL,BOLR-20260501-0,20260501,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20260519-0,20260519,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20260520018,20260520,20250429,BOA20250429024,Parque Eólico Liebre,
TITULO_DUPLICADO_SIN_URL,BOA20260520019,20260520,20250403,BOA20250403039,Las Nieves,
TITULO_CROSS_URL,BOLR-20260521-0,20260521,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20260522-0,20260522,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20260525-0,20260525,-,-,Parque Fotovoltaico Najerilla Solar POT,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20260526-0,20260526,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20260527-0,20260527,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20260528-0,20260528,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20260529-0,20260529,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
