distribuidora,subestacion,tension_kv,provincia,n_eventos_hist,años_distintos,trimestre_patron,concentracion_pct,avg_delta_mw,max_delta_mw,ultimo_evento,ventana_inicio,ventana_fin,estado_ventana,confianza,fechas_historicas,proyectos_ids,proyectos_estados
iDE,CABANILL    66.000,66.0,MADRID,2,2,4,100.0,10.6,11.1,2025-11-01,2026-10-01,2026-12-31,en 129d,0.66,2024-12-02|2025-11-01,,
Endesa,RASTRO,20.0,Sevilla,2,2,2,100.0,9.8,14.7,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.66,2022-04-01|2026-05-01,,
UFD,MEIRAMA,20.0,LA CORUÑA,2,2,1,100.0,9.7,11.0,2024-02-22,2027-01-01,2027-03-31,en 221d,0.66,2022-02-27|2024-02-22,,
Endesa,LS_VILNVAS,20.0,Teruel,2,2,1,100.0,9.2,11.7,2026-01-01,2027-01-01,2027-03-31,en 221d,0.66,2022-02-01|2026-01-01,,
iDE,GANDULLA    66.000,66.0,MADRID,2,2,4,100.0,8.4,11.2,2025-11-01,2026-10-01,2026-12-31,en 129d,0.66,2024-12-02|2025-11-01,,
Endesa,S.CECILIA,132.0,Barcelona,2,2,2,100.0,8.3,9.9,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.66,2022-04-01|2026-05-01,,
iDE,VILLARES T3,20.0,CUENCA,2,2,4,100.0,7.1,9.2,2025-10-03,2026-10-01,2026-12-31,en 129d,0.66,2024-12-02|2025-10-03,,
iDE,MIRAFLOR T1,20.0,MADRID,2,2,4,100.0,7.0,7.0,2025-11-01,2026-10-01,2026-12-31,en 129d,0.66,2024-12-02|2025-11-01,,
Endesa,S.CECILIA,25.0,Barcelona,2,2,2,100.0,6.2,6.7,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.66,2022-04-01|2026-05-01,,
REE,CASTEJON,400.0,,3,3,2,66.7,238.0,621.0,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.657,2024-12-02|2025-04-01|2026-05-01,,
REE,VIC,220.0,,3,3,3,66.7,73.0,199.0,2026-05-01,2026-07-01,2026-09-30,en 37d,0.657,2024-07-01|2025-07-01|2026-05-01,,
Endesa,MONTILLA,66.0,Córdoba,3,3,4,66.7,44.5,80.7,2025-10-01,2026-10-01,2026-12-31,en 129d,0.657,2021-10-01|2022-04-01|2025-10-01,,
Endesa,CARTUJA,66.0,Cádiz,3,3,4,66.7,32.8,45.2,2025-10-01,2026-10-01,2026-12-31,en 129d,0.657,2021-12-01|2022-01-01|2025-10-01,,
Endesa,HOSPITALET,110.0,Barcelona,3,3,2,66.7,26.1,39.4,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.657,2022-04-01|2025-12-01|2026-05-01,,
UFD,LA GRELA 2,15.0,LA CORUÑA,3,3,2,66.7,25.9,54.7,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.657,2024-06-18|2025-10-01|2026-05-01,,
Endesa,CONIL,66.0,Cádiz,3,3,4,66.7,25.5,37.7,2026-05-01,2026-10-01,2026-12-31,en 129d,0.657,2021-12-01|2025-10-01|2026-05-01,,
UFD,C.H.CASTREJON,132.0,TOLEDO,3,3,4,66.7,25.2,35.0,2025-12-01,2026-10-01,2026-12-31,en 129d,0.657,2022-02-27|2023-11-28|2025-12-01,,
Endesa,S_BARRAM,15.0,Cádiz,3,3,1,66.7,24.4,39.9,2026-03-01,2027-01-01,2027-03-31,en 221d,0.657,2022-02-01|2025-10-01|2026-03-01,,
Endesa,SABADELL,110.0,Barcelona,3,3,2,66.7,22.1,37.9,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.657,2022-04-01|2025-12-01|2026-05-01,,
Endesa,SILS,110.0,Girona,3,3,2,66.7,21.9,27.3,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.657,2021-10-01|2022-04-01|2026-05-01,,
Endesa,SILS,25.0,Girona,3,3,2,66.7,21.9,27.3,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.657,2021-10-01|2022-04-01|2026-05-01,,
Endesa,GABIAS,20.0,Granada,3,3,4,66.7,21.1,38.7,2025-10-01,2026-10-01,2026-12-31,en 129d,0.657,2021-11-01|2022-05-01|2025-10-01,,
REE,SANTA AGUEDA,66.0,,3,3,2,66.7,20.3,24.0,2026-02-20,2026-04-01,2026-06-30,EN_CURSO,0.657,2024-04-01|2025-04-01|2026-02-20,,
Endesa,CALABLAVA,15.0,Baleares,3,3,2,66.7,18.0,20.8,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.657,2022-05-01|2025-10-01|2026-05-01,,
Endesa,CENTRO,66.0,Málaga,3,3,2,66.7,16.1,26.1,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.657,2021-11-01|2022-04-01|2026-05-01,,
Endesa,ENRAMADI,66.0,Sevilla,3,3,2,66.7,15.9,27.2,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.657,2021-10-01|2022-04-01|2026-05-01,,
Endesa,CIUDAD_J,66.0,Málaga,3,3,2,66.7,13.5,19.9,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.657,2021-11-01|2022-04-01|2026-05-01,,
UFD,MOS,15.0,PONTEVEDRA,3,3,1,66.7,13.4,23.5,2025-01-27,2027-01-01,2027-03-31,en 221d,0.657,2022-02-27|2024-07-17|2025-01-27,,
UFD,VILLALONGA,20.0,PONTEVEDRA,3,3,1,66.7,13.3,18.1,2026-02-01,2027-01-01,2027-03-31,en 221d,0.657,2022-02-27|2025-10-01|2026-02-01,,
Endesa,P_GRANDE,20.0,Las Palmas,3,3,4,66.7,11.5,17.2,2025-10-01,2026-10-01,2026-12-31,en 129d,0.657,2021-12-01|2022-01-01|2025-10-01,,
UFD,CITIPAL,45.0,MADRID,3,3,1,66.7,11.3,12.5,2024-05-21,2027-01-01,2027-03-31,en 221d,0.657,2022-02-27|2023-02-28|2024-05-21,,
iDE,ALCIRA T4,20.0,VALENCIA,3,3,4,66.7,11.2,13.4,2026-01-01,2026-10-01,2026-12-31,en 129d,0.657,2024-12-02|2025-10-01|2026-01-01,,
UFD,PONTECALDELAS,66.0,PONTEVEDRA,3,3,1,66.7,10.3,20.0,2025-10-01,2027-01-01,2027-03-31,en 221d,0.657,2022-02-27|2023-03-29|2025-10-01,,
UFD,VICALVARO,45.0,MADRID,3,3,2,66.7,8.4,10.2,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.657,2022-02-27|2024-04-18|2026-05-01,,
Endesa,PERCHEL,20.0,Málaga,3,3,4,66.7,7.8,9.0,2025-12-01,2026-10-01,2026-12-31,en 129d,0.657,2021-11-01|2022-04-01|2025-12-01,,
Endesa,PERCHEL,66.0,Málaga,3,3,4,66.7,7.8,9.0,2025-12-01,2026-10-01,2026-12-31,en 129d,0.657,2021-11-01|2022-04-01|2025-12-01,,
iDE,CUART       132.00,132.0,VALENCIA,6,2,4,66.7,90.4,216.1,2025-11-01,2026-10-01,2026-12-31,en 129d,0.647,2024-06-25|2024-11-15|2024-12-02|2025-04-11|2025-10-01|2025-11-01,,
iDE,VIVEROS     66.000,66.0,VALENCIA,6,2,4,66.7,78.2,125.0,2025-11-01,2026-10-01,2026-12-31,en 129d,0.647,2024-11-15|2024-12-02|2025-02-26|2025-04-11|2025-10-01|2025-11-01,,
REE,LA LORA,400.0,,6,2,3,66.7,76.5,223.0,2025-10-01,2026-07-01,2026-09-30,en 37d,0.647,2024-07-01|2024-09-02|2025-02-03|2025-07-01|2025-08-01|2025-10-01,,
iDE,GANDIA      132.00,132.0,VALENCIA,6,2,4,66.7,65.2,157.6,2025-11-01,2026-10-01,2026-12-31,en 129d,0.647,2024-06-25|2024-11-15|2024-12-02|2025-02-26|2025-10-01|2025-11-01,,
iDE,ALCIRA      132.00,132.0,VALENCIA,6,2,4,66.7,51.8,145.7,2025-12-01,2026-10-01,2026-12-31,en 129d,0.647,2024-06-25|2024-12-02|2025-01-30|2025-10-01|2025-11-01|2025-12-01,,
iDE,RETAMAR 45.000,45.0,MADRID,6,2,4,66.7,15.0,16.7,2024-01-31,2026-10-01,2026-12-31,en 129d,0.647,2023-11-30|2023-11-30|2023-12-21|2023-12-21|2024-01-31|2024-01-31,,
iDE,OLITE       132.00,132.0,MADRID,7,2,4,57.1,106.6,321.9,2025-12-01,2026-10-01,2026-12-31,en 129d,0.638,2024-06-25|2024-07-23|2024-11-15|2025-01-30|2025-10-01|2025-11-01|2025-12-01,,
REE,LOS VIENTOS,220.0,,4,2,2,75.0,519.0,973.0,2025-06-02,2026-04-01,2026-06-30,EN_CURSO,0.62,2024-03-01|2024-04-01|2025-05-05|2025-06-02,,
REE,ALCOCERO DE MOLA,220.0,,4,3,1,50.0,285.2,777.0,2026-02-20,2027-01-01,2027-03-31,en 221d,0.62,2024-01-02|2024-05-16|2025-05-05|2026-02-20,prj_00585|prj_00947,otorgado|favorable
REE,PALOS,220.0,,4,3,1,50.0,242.0,334.0,2026-02-20,2027-01-01,2027-03-31,en 221d,0.62,2024-02-01|2024-08-01|2025-05-05|2026-02-20,,
REE,LOUSAME,220.0,,4,2,2,75.0,173.8,399.0,2025-05-05,2026-04-01,2026-06-30,EN_CURSO,0.62,2024-05-16|2024-08-01|2025-04-01|2025-05-05,,
iDE,VINALESA    132.00,132.0,VALENCIA,4,2,4,75.0,128.1,186.7,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-05-29|2024-12-02|2025-10-01|2025-11-01,,
REE,CARIÑENA,400.0,,4,3,4,50.0,86.2,148.0,2026-02-20,2026-10-01,2026-12-31,en 129d,0.62,2024-07-01|2024-12-02|2025-12-01|2026-02-20,prj_02258,favorable
REE,TERRER,400.0,,4,3,1,50.0,83.2,201.0,2026-02-20,2027-01-01,2027-03-31,en 221d,0.62,2024-08-01|2024-12-02|2025-01-02|2026-02-20,,
Endesa,S.FOST,110.0,Barcelona,4,4,2,50.0,74.7,126.5,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.62,2021-08-01|2022-04-01|2025-10-01|2026-05-01,,
REE,S.AGUSTIN,220.0,,4,3,2,50.0,71.0,138.0,2026-02-20,2026-04-01,2026-06-30,EN_CURSO,0.62,2024-05-16|2024-11-04|2025-04-01|2026-02-20,,
iDE,EL GRAO     132.00,132.0,VALENCIA,4,3,4,50.0,70.7,133.7,2026-03-01,2026-10-01,2026-12-31,en 129d,0.62,2024-05-29|2024-12-02|2025-11-01|2026-03-01,,
REE,MURTERAR,220.0,,4,3,3,50.0,69.5,108.0,2026-02-20,2026-07-01,2026-09-30,en 37d,0.62,2024-09-02|2024-10-01|2025-08-01|2026-02-20,,
Endesa,ARCOS,66.0,Cádiz,4,2,1,75.0,66.6,135.9,2022-03-01,2027-01-01,2027-03-31,en 221d,0.62,2021-11-01|2022-01-01|2022-02-01|2022-03-01,,
REE,SAGUNTO,220.0,,4,3,1,50.0,65.8,135.0,2026-02-20,2027-01-01,2027-03-31,en 221d,0.62,2024-11-04|2025-02-03|2025-05-05|2026-02-20,,
Endesa,S.ANDREU,110.0,Barcelona,4,4,2,50.0,56.7,115.2,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.62,2021-09-01|2022-04-01|2025-10-01|2026-05-01,,
UFD,PAZOS DE BORBEN,132.0,PONTEVEDRA,4,3,4,50.0,54.9,79.8,2025-10-01,2026-10-01,2026-12-31,en 129d,0.62,2022-02-27|2022-11-27|2023-06-01|2025-10-01,,
REE,MEZQUITA,400.0,,4,3,3,50.0,53.5,61.0,2026-02-20,2026-07-01,2026-09-30,en 37d,0.62,2024-08-01|2024-11-04|2025-08-01|2026-02-20,,
Endesa,TORRERO,132.0,Zaragoza,4,3,4,50.0,50.4,101.8,2025-10-01,2026-10-01,2026-12-31,en 129d,0.62,2021-12-01|2022-02-01|2022-05-01|2025-10-01,,
Endesa,REUS,110.0,Tarragona,4,4,4,50.0,49.8,89.9,2026-03-01,2026-10-01,2026-12-31,en 129d,0.62,2021-10-01|2022-04-01|2025-12-01|2026-03-01,,
Endesa,REUS,25.0,Tarragona,4,4,4,50.0,49.8,89.9,2026-03-01,2026-10-01,2026-12-31,en 129d,0.62,2021-10-01|2022-04-01|2025-12-01|2026-03-01,,
Endesa,ROCA,132.0,Barcelona,4,3,2,50.0,46.0,146.8,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.62,2022-04-01|2025-12-01|2026-03-01|2026-05-01,,
Endesa,S_ELVIRA,15.0,Sevilla,4,2,4,75.0,43.4,112.7,2025-10-01,2026-10-01,2026-12-31,en 129d,0.62,2021-08-01|2021-10-01|2021-12-01|2025-10-01,,
Endesa,HINOJERA,66.0,Cádiz,4,4,4,50.0,34.9,49.9,2026-03-01,2026-10-01,2026-12-31,en 129d,0.62,2021-11-01|2022-01-01|2025-10-01|2026-03-01,,
Endesa,TORDERA,110.0,Barcelona,4,4,4,50.0,34.7,57.7,2026-03-01,2026-10-01,2026-12-31,en 129d,0.62,2021-10-01|2022-04-01|2025-10-01|2026-03-01,,
Endesa,ALMONTE,66.0,Huelva,4,3,2,50.0,34.6,65.4,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.62,2021-09-01|2022-02-01|2022-04-01|2026-05-01,,
Endesa,MATA,110.0,Barcelona,4,3,4,50.0,33.6,104.6,2025-12-01,2026-10-01,2026-12-31,en 129d,0.62,2021-09-01|2022-04-01|2025-10-01|2025-12-01,,
REE,TIBO,220.0,,4,3,1,50.0,32.5,48.0,2026-05-01,2027-01-01,2027-03-31,en 221d,0.62,2024-02-01|2025-01-02|2025-12-01|2026-05-01,,
Endesa,S.MATEU,110.0,Barcelona,4,3,4,50.0,31.0,95.4,2025-12-01,2026-10-01,2026-12-31,en 129d,0.62,2021-08-01|2022-04-01|2025-10-01|2025-12-01,,
UFD,LA POVEDA,45.0,MADRID,4,4,1,50.0,30.9,74.6,2026-02-01,2027-01-01,2027-03-31,en 221d,0.62,2022-02-27|2023-07-10|2024-12-17|2026-02-01,,
Endesa,NEVERO,66.0,Badajoz,4,3,2,50.0,28.4,56.9,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.62,2022-05-01|2025-10-01|2025-12-01|2026-05-01,,
Endesa,LAGELTRU,25.0,Barcelona,4,3,2,50.0,27.6,56.8,2025-12-01,2026-04-01,2026-06-30,EN_CURSO,0.62,2021-08-01|2022-04-01|2022-06-01|2025-12-01,,
UFD,GETAFE,45.0,MADRID,4,3,4,50.0,27.4,46.0,2024-12-17,2026-10-01,2026-12-31,en 129d,0.62,2022-02-27|2023-07-10|2023-12-22|2024-12-17,,
Endesa,BELLISSENS,25.0,Tarragona,4,4,4,50.0,27.2,55.1,2026-03-01,2026-10-01,2026-12-31,en 129d,0.62,2021-12-01|2022-05-01|2025-12-01|2026-03-01,,
Endesa,FARGUE,66.0,Granada,4,3,4,50.0,26.6,49.8,2025-10-01,2026-10-01,2026-12-31,en 129d,0.62,2021-11-01|2022-01-01|2022-03-01|2025-10-01,,
Endesa,CALDERS,110.0,Barcelona,4,3,1,50.0,25.6,40.0,2026-05-01,2027-01-01,2027-03-31,en 221d,0.62,2022-03-01|2025-12-01|2026-03-01|2026-05-01,,
UFD,HERENCIA,45.0,CIUDAD REAL,4,2,1,75.0,24.9,37.0,2026-05-01,2027-01-01,2027-03-31,en 221d,0.62,2025-02-25|2026-01-01|2026-02-01|2026-05-01,,
iDE,OLIVERAL T1,20.0,VALENCIA,4,2,4,75.0,24.6,26.9,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-12-02|2025-02-26|2025-10-01|2025-11-01,,
iDE,CASALARRE T1,66.0,LA RIOJA,4,3,1,50.0,23.0,42.7,2026-03-01,2027-01-01,2027-03-31,en 221d,0.62,2024-07-23|2024-10-29|2025-01-30|2026-03-01,,
Endesa,AXARQUIA,66.0,Málaga,4,3,4,50.0,22.8,62.1,2026-01-01,2026-10-01,2026-12-31,en 129d,0.62,2021-10-01|2021-11-01|2022-04-01|2026-01-01,,
Endesa,TAUSTE,66.0,Zaragoza,4,3,2,50.0,21.7,25.1,2026-03-01,2026-04-01,2026-06-30,EN_CURSO,0.62,2021-11-01|2022-04-01|2022-05-01|2026-03-01,,
Endesa,MONTES,66.0,Málaga,4,4,4,50.0,20.2,41.0,2026-05-01,2026-10-01,2026-12-31,en 129d,0.62,2021-11-01|2022-04-01|2025-12-01|2026-05-01,,
UFD,HERRERA DE LA MANCHA,45.0,CIUDAD REAL,4,2,1,75.0,18.5,25.0,2026-05-01,2027-01-01,2027-03-31,en 221d,0.62,2025-02-25|2026-01-01|2026-02-01|2026-05-01,,
Endesa,BADAJOZ,20.0,Badajoz,4,4,4,50.0,18.2,39.2,2026-05-01,2026-10-01,2026-12-31,en 129d,0.62,2021-11-01|2022-05-01|2025-12-01|2026-05-01,,
iDE,POLIGONC T5,15.0,MADRID,4,2,4,75.0,18.0,25.9,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-08-27|2024-10-29|2025-10-01|2025-11-01,,
Endesa,T_MIGUEL,66.0,Badajoz,4,3,2,50.0,17.8,34.2,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.62,2022-01-01|2022-04-01|2025-12-01|2026-05-01,,
iDE,S.S.PROVIF,66.0,LA RIOJA,4,3,4,50.0,17.7,19.3,2026-03-01,2026-10-01,2026-12-31,en 129d,0.62,2024-07-23|2024-10-29|2025-10-01|2026-03-01,,
iDE,OLIVERAL T2,20.0,VALENCIA,4,2,4,75.0,17.2,21.8,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-12-02|2025-02-26|2025-10-01|2025-11-01,,
Endesa,RIOCAYA,20.0,Badajoz,4,4,4,50.0,16.4,26.3,2026-05-01,2026-10-01,2026-12-31,en 129d,0.62,2021-11-01|2022-03-01|2025-12-01|2026-05-01,,
Endesa,MONTBLANC,25.0,Tarragona,4,3,2,50.0,16.0,26.8,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.62,2022-01-01|2022-04-01|2025-10-01|2026-05-01,,
iDE,NOUMOLES T3,20.0,VALENCIA,4,2,4,75.0,16.0,20.9,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-11-15|2025-02-26|2025-10-01|2025-11-01,,
iDE,VIVEROS T2,20.0,VALENCIA,4,2,4,75.0,15.7,20.9,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-11-15|2025-02-26|2025-10-01|2025-11-01,,
iDE,VIVEROS T3,20.0,VALENCIA,4,2,4,75.0,15.7,21.0,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-11-15|2025-02-26|2025-10-01|2025-11-01,,
Endesa,VEGASBAJ,20.0,Badajoz,4,3,2,50.0,14.9,22.1,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.62,2022-03-01|2022-05-01|2025-12-01|2026-05-01,,
Endesa,CORRALEJO,20.0,Las Palmas,4,2,4,75.0,14.0,23.2,2025-10-01,2026-10-01,2026-12-31,en 129d,0.62,2021-09-01|2021-10-01|2021-12-01|2025-10-01,,
iDE,GANDIA T2,20.0,VALENCIA,4,2,4,75.0,14.0,25.4,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-01-31|2024-11-15|2025-10-01|2025-11-01,,
Endesa,ROTA,15.0,Cádiz,4,4,4,50.0,13.9,18.7,2026-03-01,2026-10-01,2026-12-31,en 129d,0.62,2021-11-01|2022-03-01|2025-10-01|2026-03-01,,
UFD,MOURENTE,20.0,PONTEVEDRA,4,3,4,50.0,13.9,19.8,2026-02-01,2026-10-01,2026-12-31,en 129d,0.62,2024-04-18|2025-10-01|2025-12-01|2026-02-01,,
iDE,NOUMOLES T1,11.0,VALENCIA,4,2,4,75.0,13.3,21.0,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-11-15|2025-02-26|2025-10-01|2025-11-01,,
Endesa,MAGALLON,15.0,Zaragoza,4,3,1,50.0,13.2,20.0,2026-03-01,2027-01-01,2027-03-31,en 221d,0.62,2021-11-01|2022-02-01|2022-05-01|2026-03-01,,
iDE,ALCIRA T1,20.0,VALENCIA,4,3,1,50.0,13.0,16.7,2026-01-01,2027-01-01,2027-03-31,en 221d,0.62,2024-01-31|2024-12-02|2025-10-01|2026-01-01,,
iDE,LIRIA T2,20.0,VALENCIA,4,2,4,75.0,13.0,13.7,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-12-02|2025-02-26|2025-10-01|2025-11-01,,
iDE,VIVEROS T1,11.0,VALENCIA,4,2,4,75.0,12.9,21.0,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-11-15|2025-02-26|2025-10-01|2025-11-01,,
iDE,EZCARAY T1,66.0,LA RIOJA,4,3,4,50.0,12.5,13.8,2026-03-01,2026-10-01,2026-12-31,en 129d,0.62,2024-07-23|2024-10-29|2025-10-01|2026-03-01,,
iDE,PIQUENAS T1,45.0,MADRID,4,3,4,50.0,12.2,27.9,2026-01-01,2026-10-01,2026-12-31,en 129d,0.62,2024-04-29|2024-12-02|2025-10-03|2026-01-01,,
iDE,CIRUENA T1,66.0,LA RIOJA,4,3,4,50.0,11.9,13.1,2026-03-01,2026-10-01,2026-12-31,en 129d,0.62,2024-07-23|2024-10-29|2025-10-01|2026-03-01,,
iDE,CIRUENA T2,66.0,LA RIOJA,4,3,4,50.0,11.9,13.1,2026-03-01,2026-10-01,2026-12-31,en 129d,0.62,2024-07-23|2024-10-29|2025-10-01|2026-03-01,,
iDE,NOUMOLES T2,11.0,VALENCIA,4,2,4,75.0,11.7,17.4,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-11-15|2025-02-26|2025-10-01|2025-11-01,,
REE,FUENCALIENTE,66.0,,4,3,1,50.0,10.8,20.0,2026-02-20,2027-01-01,2027-03-31,en 221d,0.62,2024-09-02|2025-01-02|2025-12-01|2026-02-20,,
iDE,SALINAS T2,20.0,ALICANTE,4,2,4,75.0,10.5,15.3,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-09-26|2024-12-02|2025-10-01|2025-11-01,,
iDE,EQUINIX     66.000,66.0,MADRID,4,2,4,75.0,10.3,14.1,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-06-25|2024-10-29|2025-10-01|2025-11-01,,
iDE,ROJALES T2,20.0,ALICANTE,4,2,4,75.0,10.0,18.7,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-09-26|2024-12-02|2025-10-01|2025-11-01,,
iDE,LIRIA T3,20.0,VALENCIA,4,2,4,75.0,9.9,10.6,2025-11-01,2026-10-01,2026-12-31,en 129d,0.62,2024-12-02|2025-02-26|2025-10-01|2025-11-01,,
UFD,GONDOMAR,20.0,PONTEVEDRA,4,2,4,75.0,8.0,11.9,2025-12-01,2026-10-01,2026-12-31,en 129d,0.62,2022-10-23|2022-11-27|2025-01-27|2025-12-01,,
iDE,PIQUENAS T1,15.0,MADRID,4,3,4,50.0,7.2,7.4,2026-01-01,2026-10-01,2026-12-31,en 129d,0.62,2024-04-29|2024-12-02|2025-10-01|2026-01-01,,
iDE,BELCAIRE T1,20.0,CASTELLÓN,4,3,4,50.0,6.5,8.5,2026-05-01,2026-10-01,2026-12-31,en 129d,0.62,2024-02-28|2024-12-02|2025-10-01|2026-05-01,,
REE,BELESAR,220.0,,5,2,3,60.0,159.2,322.0,2025-08-01,2026-07-01,2026-09-30,en 37d,0.59,2024-02-01|2024-07-01|2025-05-05|2025-07-01|2025-08-01,,
REE,ZAMORA,220.0,,5,2,2,60.0,142.6,569.0,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.59,2025-02-03|2025-05-05|2025-06-02|2025-08-01|2026-05-01,,
iDE,ARGUELLE    132.00,132.0,MADRID,5,2,4,60.0,127.7,295.3,2025-11-01,2026-10-01,2026-12-31,en 129d,0.59,2024-05-29|2024-10-29|2025-02-26|2025-10-01|2025-11-01,,
REE,ESCUCHA,220.0,,5,2,2,60.0,97.6,199.0,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.59,2025-04-01|2025-05-05|2025-08-01|2026-02-20|2026-05-01,,
REE,ZARZON,400.0,,5,2,1,60.0,85.4,285.0,2025-06-02,2027-01-01,2027-03-31,en 221d,0.59,2024-03-01|2024-08-01|2025-02-03|2025-03-03|2025-06-02,,
iDE,TORREFIE    132.00,132.0,VALENCIA,5,2,4,60.0,61.1,168.2,2025-11-01,2026-10-01,2026-12-31,en 129d,0.59,2024-05-29|2024-11-15|2024-12-02|2025-04-11|2025-11-01,,
iDE,EL OLIVE    132.00,132.0,VALENCIA,5,2,4,60.0,47.8,112.5,2025-11-01,2026-10-01,2026-12-31,en 129d,0.59,2024-12-02|2025-02-26|2025-04-11|2025-10-01|2025-11-01,,
Endesa,BARCAFLR,66.0,Cádiz,5,2,1,60.0,22.4,36.7,2022-03-01,2027-01-01,2027-03-31,en 221d,0.59,2021-09-01|2021-11-01|2022-01-01|2022-02-01|2022-03-01,,
iDE,ST VITORIA  30.000,30.0,ÁLAVA,5,2,4,60.0,17.2,50.5,2025-12-01,2026-10-01,2026-12-31,en 129d,0.59,2024-05-29|2024-08-27|2024-10-29|2025-10-03|2025-12-01,,
iDE,ARDOZ.N T5,20.0,MADRID,3,1,4,100.0,14.9,22.4,2025-12-01,2026-10-01,2026-12-31,en 129d,0.59,2025-10-01|2025-11-01|2025-12-01,,
iDE,FUENLABR T2,15.0,MADRID,5,2,4,60.0,13.4,21.3,2025-11-01,2026-10-01,2026-12-31,en 129d,0.59,2024-02-28|2024-06-25|2024-12-02|2025-10-01|2025-11-01,,
iDE,PILAR.M T3,15.0,MADRID,3,1,4,100.0,11.7,13.0,2025-11-01,2026-10-01,2026-12-31,en 129d,0.59,2025-10-01|2025-10-03|2025-11-01,,
Endesa,CASTELLET,25.0,Tarragona,5,2,2,60.0,11.5,14.9,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.59,2022-04-01|2022-06-01|2026-01-01|2026-03-01|2026-05-01,,
REE,ALMODOVAR DEL RIO,220.0,,6,2,2,50.0,99.3,274.0,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.58,2025-05-05|2025-06-02|2025-07-01|2025-10-01|2026-02-20|2026-05-01,,
REE,LAS MAZORRAS,220.0,,6,2,1,50.0,70.7,225.0,2026-02-20,2027-01-01,2027-03-31,en 221d,0.58,2024-01-02|2024-02-01|2024-04-01|2024-06-03|2024-12-02|2026-02-20,,
iDE,R.TEJAR     132.00,132.0,MADRID,6,2,4,50.0,56.9,107.2,2025-11-01,2026-10-01,2026-12-31,en 129d,0.58,2024-07-23|2024-09-26|2024-11-15|2025-01-30|2025-10-01|2025-11-01,,
REE,BEARIZ,400.0,,2,1,1,100.0,352.0,677.0,2024-02-01,2027-01-01,2027-03-31,en 221d,0.56,2024-01-02|2024-02-01,,
REE,MAS FIGUERES,220.0,,2,1,1,100.0,116.5,150.0,2024-02-01,2027-01-01,2027-03-31,en 221d,0.56,2024-01-02|2024-02-01,,
iDE,RETAMAR F1     45.000,45.0,MADRID,2,1,4,100.0,106.7,106.8,2025-11-01,2026-10-01,2026-12-31,en 129d,0.56,2025-10-01|2025-11-01,,
REE,TRES CANTOS GIS,220.0,,2,1,4,100.0,104.5,129.0,2025-12-01,2026-10-01,2026-12-31,en 129d,0.56,2025-10-01|2025-12-01,prj_00739|prj_00791|prj_00909,denegado|otorgado|favorable
REE,SOLORZANO,220.0,,2,1,1,100.0,93.0,149.0,2024-03-01,2027-01-01,2027-03-31,en 221d,0.56,2024-01-02|2024-03-01,,
iDE,RETAMAR B1  45.000,45.0,MADRID,2,1,4,100.0,79.9,79.9,2025-11-01,2026-10-01,2026-12-31,en 129d,0.56,2025-10-01|2025-11-01,,
