distribuidora,subestacion,tension_kv,provincia,n_eventos_hist,años_distintos,trimestre_patron,concentracion_pct,avg_delta_mw,max_delta_mw,ultimo_evento,ventana_inicio,ventana_fin,estado_ventana,confianza,fechas_historicas,proyectos_ids,proyectos_estados
iDE,LA LLOMA    132.00,132.0,ALICANTE,8,3,2,50.0,51.3,180.7,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.74,2024-05-29|2024-06-25|2024-07-23|2024-12-02|2025-01-30|2025-04-11|2025-11-01|2026-05-01,,
iDE,AQUA        132.00,132.0,VALENCIA,8,3,2,50.0,48.1,160.2,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.74,2024-05-29|2024-06-25|2024-11-15|2025-04-11|2025-11-01|2025-12-01|2026-03-01|2026-05-01,,
iDE,ORCOYEN     66.000,66.0,NAVARRA,8,3,1,50.0,26.3,91.4,2026-03-01,2027-01-01,2027-03-31,en 221d,0.74,2024-05-29|2025-01-30|2025-02-26|2025-04-11|2025-10-01|2025-11-01|2026-01-01|2026-03-01,,
REE,TAJO ENCANTADA,220.0,,7,3,1,57.1,89.6,172.0,2026-03-02,2027-01-01,2027-03-31,en 221d,0.738,2024-01-02|2024-03-01|2024-04-01|2025-08-01|2025-12-01|2026-02-20|2026-03-02,prj_01421,informacion_publica
iDE,BENIDORM    132.00,132.0,ALICANTE,7,3,2,57.1,60.0,176.3,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.738,2024-05-29|2024-06-25|2024-08-27|2025-01-30|2025-04-11|2025-11-01|2026-05-01,,
REE,CODONYERS,220.0,,7,3,1,57.1,34.3,120.0,2026-02-20,2027-01-01,2027-03-31,en 221d,0.738,2024-01-02|2024-02-01|2024-04-01|2024-11-04|2025-01-02|2025-07-01|2026-02-20,,
Endesa,MANRESA,110.0,Barcelona,7,3,1,57.1,33.1,114.8,2026-05-01,2027-01-01,2027-03-31,en 221d,0.738,2022-01-01|2022-02-01|2025-10-01|2025-12-01|2026-01-01|2026-03-01|2026-05-01,,
Endesa,ONUBA,20.0,Huelva,7,4,1,57.1,8.6,23.3,2026-03-01,2027-01-01,2027-03-31,en 221d,0.738,2021-11-01|2022-02-01|2022-03-01|2025-10-01|2025-12-01|2026-01-01|2026-03-01,,
iDE,OLIVA       132.00,132.0,VALENCIA,4,3,4,75.0,80.4,229.8,2026-03-01,2026-10-01,2026-12-31,en 129d,0.72,2024-10-29|2024-12-02|2025-11-01|2026-03-01,,
REE,ARDOZ,220.0,,4,2,2,100.0,76.8,143.0,2025-06-02,2026-04-01,2026-06-30,EN_CURSO,0.72,2024-04-01|2024-06-03|2025-05-05|2025-06-02,,
Endesa,RAMOS,66.0,Málaga,4,3,4,75.0,47.8,157.5,2025-12-01,2026-10-01,2026-12-31,en 129d,0.72,2021-10-01|2022-04-01|2025-10-01|2025-12-01,,
iDE,VINALESA    66.000,66.0,VALENCIA,4,3,4,75.0,47.1,86.0,2026-01-01,2026-10-01,2026-12-31,en 129d,0.72,2024-11-15|2025-10-01|2025-11-01|2026-01-01,,
