fecha,distribuidora,provincia,subestacion,tension_kv,disponible_neta,prev_disp,delta,mes,trimestre,año
2025-11-01,iDE,MADRID,FORTUNA T3,15.0,35.0,0.0,35.0,11,4,2025
2025-10-01,iDE,MADRID,FUENCA.M T2,20.0,16.47,0.0,16.47,10,4,2025
2025-11-01,iDE,MADRID,FUENCA.M T2,20.0,33.0,16.46,16.54,11,4,2025
2025-10-01,iDE,MADRID,FUENCA.M T3,20.0,19.08,0.0,19.08,10,4,2025
2025-11-01,iDE,MADRID,FUENCA.M T3,20.0,29.43,19.07,10.36,11,4,2025
2024-04-29,iDE,MADRID,FUENCA.M T4,20.0,34.36,29.36,5.0,4,2,2024
2025-10-01,iDE,MADRID,FUENCA.M T4,20.0,23.4,0.0,23.4,10,4,2025
2025-11-01,iDE,MADRID,FUENCA.M T4,20.0,34.39,19.52,14.870000000000001,11,4,2025
2025-10-01,iDE,MADRID,FUENCA.M T5,20.0,7.49,0.0,7.49,10,4,2025
2025-11-01,iDE,MADRID,FUENCA.M T5,20.0,29.56,0.0,29.56,11,4,2025
2024-07-23,iDE,MADRID,FUENCARR    132.00,132.0,169.37,122.36,47.010000000000005,7,3,2024
2024-09-26,iDE,MADRID,FUENCARR    132.00,132.0,158.77,139.56,19.210000000000008,9,3,2024
2024-12-02,iDE,MADRID,FUENCARR    132.00,132.0,157.13,149.02,8.109999999999985,12,4,2024
2025-01-30,iDE,MADRID,FUENCARR    132.00,132.0,186.39,157.13,29.25999999999999,1,1,2025
2025-10-01,iDE,MADRID,FUENCARR    132.00,132.0,134.73,0.0,134.73,10,4,2025
2025-11-01,iDE,MADRID,FUENCARR    132.00,132.0,133.9,0.0,133.9,11,4,2025
2026-03-01,iDE,Madrid,FUENCARR    132.00,132.0,141.63,134.13,7.5,3,1,2026
2024-06-25,iDE,MADRID,FUENCARR    66.000,66.0,16.57,9.58,6.99,6,2,2024
2024-10-29,iDE,MADRID,FUENCARR    66.000,66.0,16.67,10.67,6.000000000000002,10,4,2024
2025-10-03,iDE,MADRID,FUENCARR    66.000,66.0,0.0,-25.79,25.79,10,4,2025
2024-07-23,iDE,MADRID,FUENLABR T1,15.0,10.7,5.1,5.6,7,3,2024
2025-10-03,iDE,MADRID,FUENLABR T1,15.0,0.0,-27.865,27.865,10,4,2025
2025-12-01,iDE,Madrid,FUENLABR T1,15.0,-4.47,-23.47,19.0,12,4,2025
2024-02-28,iDE,MADRID,FUENLABR T2,15.0,15.06,10.06,5.0,2,1,2024
2024-06-25,iDE,MADRID,FUENLABR T2,15.0,9.81,0.0,9.81,6,2,2024
2024-12-02,iDE,MADRID,FUENLABR T2,15.0,9.63,0.0,9.63,12,4,2024
2025-10-01,iDE,MADRID,FUENLABR T2,15.0,21.329,0.0,21.329,10,4,2025
2025-11-01,iDE,MADRID,FUENLABR T2,15.0,21.33,0.0,21.33,11,4,2025
2024-01-31,iDE,GUIPÚZCOA,FUENTERR T1 30.000,30.0,12.42,3.51,8.91,1,1,2024
2025-10-01,iDE,MADRID,GALAPAG A1    66.000,66.0,33.27,0.0,33.27,10,4,2025
