fecha,ccaa,provincia,subestacion,tension_kv,lat,lon,disponible,ocupada_total,admitida_total,disponible_neta
2021-07-01,01 - Andalucía,Cádiz,ABELLO,66,36.72201055,-6.08516045,46.4,0.0,0.0,46.4
2021-07-01,01 - Andalucía,Cádiz,ABIERTAS,66,36.69859811,-6.09675443,56.7,0.0,0.0,56.7
2021-07-01,01 - Andalucía,Cádiz,ABIERTAS,15,36.69859811,-6.09675443,24.9,0.0,0.0,24.9
2021-07-01,01 - Andalucía,Cádiz,AGROALIM,66,36.72922826,-6.09031241,46.9,0.0,0.0,46.9
2021-07-01,01 - Andalucía,Cádiz,AGROALIM,15,36.72922826,-6.09031241,31.5,0.0,0.0,31.5
2021-07-01,01 - Andalucía,Cádiz,ALCAIDES,66,36.24221017,-5.33701557,0.0,25.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,ALCAIDES,20,36.24221017,-5.33701557,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,ALGECIRA,66,36.18292744,-5.38977709,0.0,113.5,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,ALGECIRA,15,36.18292744,-5.38977709,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,ALGODONA,66,36.87439847,-5.41619802,20.3,0.0,0.0,20.3
2021-07-01,01 - Andalucía,Cádiz,ALGODONA,20,36.87439847,-5.41619802,12.9,0.0,0.0,12.9
2021-07-01,01 - Andalucía,Cádiz,ALIJAR,66,36.73331565,-6.29471498,29.4,24.0,0.0,29.4
2021-07-01,01 - Andalucía,Cádiz,ARCOS,66,36.74893291,-5.82412452,38.0,0.0,0.0,38.0
2021-07-01,01 - Andalucía,Cádiz,ARCOS,15,36.74893291,-5.82412452,13.7,7.4,0.0,13.7
2021-07-01,01 - Andalucía,Cádiz,AREASUR,66,36.69797453,-6.16037323,47.8,0.0,0.0,47.8
2021-07-01,01 - Andalucía,Cádiz,AREASUR,15,36.69797453,-6.16037323,32.2,0.0,0.0,32.2
2021-07-01,01 - Andalucía,Cádiz,ARVINA,66,36.64063214,-6.37432797,52.0,0.0,0.0,52.0
2021-07-01,01 - Andalucía,Cádiz,ARVINA,15,36.64063214,-6.37432797,29.5,0.0,0.0,29.5
2021-07-01,01 - Andalucía,Cádiz,ATLANTER,66,36.12240604,-5.82454017,0.0,30.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,ATLANTER,20,36.12240604,-5.82454017,0.0,8.3,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,BAHIASUR,66,36.46752319,-6.20811304,55.9,0.0,0.0,55.9
2021-07-01,01 - Andalucía,Cádiz,BAHIASUR,20,36.46752319,-6.20811304,22.1,0.0,0.0,22.1
2021-07-01,01 - Andalucía,Cádiz,BARCAFLR,66,36.65293098,-5.91233953,42.5,0.0,0.0,42.5
2021-07-01,01 - Andalucía,Cádiz,BARCAFLR,15,36.65293098,-5.91233953,21.1,0.0,0.0,21.1
2021-07-01,01 - Andalucía,Cádiz,BARRIOS,20,36.18446986,-5.42021928,45.6,0.0,0.0,45.6
2021-07-01,01 - Andalucía,Cádiz,BARROSA,66,36.33783115,-6.14007873,14.6,0.0,0.0,14.6
2021-07-01,01 - Andalucía,Cádiz,BARROSA,20,36.33783115,-6.14007873,14.6,0.0,0.0,14.6
2021-07-01,01 - Andalucía,Cádiz,BORNOS,66,36.79089925,-5.76303837,47.8,4.6,0.0,47.8
2021-07-01,01 - Andalucía,Cádiz,BORNOS,20,36.79089925,-5.76303837,10.9,0.0,0.0,10.9
2021-07-01,01 - Andalucía,Cádiz,BORNOS,15,36.79089925,-5.76303837,18.3,0.0,0.0,18.3
2021-07-01,01 - Andalucía,Cádiz,BOSQUE,66,36.7602491,-5.51850119,18.2,0.0,0.0,18.2
2021-07-01,01 - Andalucía,Cádiz,BOSQUE,20,36.7602491,-5.51850119,14.7,0.0,0.0,14.7
2021-07-01,01 - Andalucía,Cádiz,CADIZ,132,36.50466898,-6.26516274,125.2,0.0,0.0,125.2
2021-07-01,01 - Andalucía,Cádiz,CANUELO,66,36.21445779,-5.45255873,102.5,59.0,0.0,102.5
2021-07-01,01 - Andalucía,Cádiz,CARTUJA,66,36.61836685,-6.12002283,359.1,0.0,0.0,359.1
2021-07-01,01 - Andalucía,Cádiz,CARTUJA,15,36.61836685,-6.12002283,1.9,0.0,0.0,1.9
2021-07-01,01 - Andalucía,Cádiz,CHICLANA,66,36.40933238,-6.13487991,33.8,26.0,0.0,33.8
2021-07-01,01 - Andalucía,Cádiz,CHICLANA,20,36.40933238,-6.13487991,36.4,0.0,0.0,36.4
2021-07-01,01 - Andalucía,Cádiz,CONIL,66,36.29016669,-6.06488301,6.4,0.0,0.0,6.4
2021-07-01,01 - Andalucía,Cádiz,CONIL,20,36.29016669,-6.06488301,6.4,0.0,0.0,6.4
2021-07-01,01 - Andalucía,Cádiz,CORCHADO,66,36.49549648,-5.4052369,12.1,11.6,0.0,12.1
2021-07-01,01 - Andalucía,Cádiz,CORCHADO,15,36.49549648,-5.4052369,9.7,5.0,0.0,9.7
2021-07-01,01 - Andalucía,Cádiz,CORTADUR,66,36.49058251,-6.26663065,50.5,0.0,0.0,50.5
2021-07-01,01 - Andalucía,Cádiz,CRINAVIS,66,36.17258778,-5.37429971,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,CRINAVIS,20,36.17258778,-5.37429971,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,CUBILLO,66,36.0306796,-5.60968693,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,CUBILLO,20,36.0306796,-5.60968693,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,EASTMAN,66,36.20536288,-5.40596323,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,EBRO,66,36.65539803,-6.12746358,36.9,18.4,0.0,36.9
2021-07-01,01 - Andalucía,Cádiz,ESTRECHO,66,36.13624111,-5.45869523,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,ESTRECHO,15,36.13624111,-5.45869523,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,FACINAS,66,36.14521675,-5.71784625,0.0,393.8,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,FRESNO,66,36.17036471,-5.46519268,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,FRESNO,15,36.17036471,-5.46519268,0.0,5.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,GETARES,66,36.10936977,-5.45694714,0.0,26.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,GETARES,20,36.10936977,-5.45694714,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,GETARES,15,36.10936977,-5.45694714,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,GUADALCA,66,36.66989945,-5.79285576,29.6,0.0,0.0,29.6
2021-07-01,01 - Andalucía,Cádiz,GUADALCA,20,36.66989945,-5.79285576,9.8,0.0,0.0,9.8
