distribuidora,subestacion,tension_kv,provincia,n_eventos,mes_top,mes_top_pct,trimestre_top,tri_top_pct,avg_delta_mw,max_delta_mw,patron_claro,fechas_eventos
iDE,VILLAMTE    66.000,66.0,VALENCIA,5,12,20.0,4,60.0,44.6,67.0,True,2024-12-02|2025-02-26|2025-10-01|2025-11-01|2026-05-01
REE,ORCOYEN,220.0,,5,4,20.0,2,60.0,37.8,50.0,True,2025-04-01|2025-05-05|2025-06-02|2025-07-01|2025-10-01
Endesa,TARRACO,110.0,Tarragona,5,4,20.0,2,60.0,35.0,94.9,True,2022-04-01|2022-05-01|2022-06-01|2025-12-01|2026-03-01
Endesa,TORRECIL,66.0,Córdoba,5,11,20.0,4,60.0,30.0,59.9,True,2021-11-01|2021-12-01|2022-03-01|2022-04-01|2025-10-01
iDE,LEGANES 45.000,45.0,MADRID,5,11,40.0,4,80.0,29.0,49.2,True,2023-11-30|2023-11-30|2023-12-21|2023-12-21|2024-01-31
Endesa,ALCORES,66.0,Sevilla,5,10,40.0,4,60.0,25.1,64.9,True,2021-08-01|2021-10-01|2021-12-01|2022-05-01|2025-10-01
Endesa,BARCAFLR,66.0,Cádiz,5,9,20.0,1,60.0,22.4,36.7,True,2021-09-01|2021-11-01|2022-01-01|2022-02-01|2022-03-01
Endesa,CERROGOR,66.0,Badajoz,5,9,20.0,4,60.0,22.3,33.5,True,2021-09-01|2021-11-01|2025-10-01|2025-12-01|2026-05-01
Endesa,DOSHMNAS,132.0,Sevilla,5,10,40.0,4,80.0,22.3,50.0,True,2021-10-01|2021-11-01|2021-12-01|2022-02-01|2025-10-01
Endesa,RIOCAYA,66.0,Badajoz,5,11,20.0,4,60.0,20.7,42.3,True,2021-11-01|2022-01-01|2025-10-01|2025-12-01|2026-05-01
REE,SENTMENAT,220.0,,5,2,40.0,1,60.0,20.0,34.0,True,2024-01-02|2024-07-01|2025-02-03|2025-10-01|2026-02-20
UFD,VALDEMORO 2,45.0,MADRID,5,8,40.0,3,80.0,20.0,31.5,True,2022-02-27|2022-08-28|2022-09-28|2023-07-10|2023-08-23
iDE,ST GAMARRA A30.000,30.0,ÁLAVA,5,12,20.0,4,60.0,18.1,29.6,True,2023-12-21|2024-03-22|2025-01-30|2025-10-01|2025-11-01
iDE,ST VITORIA  30.000,30.0,ÁLAVA,5,10,40.0,4,60.0,17.2,50.5,True,2024-05-29|2024-08-27|2024-10-29|2025-10-03|2025-12-01
Endesa,CARRIZAL,20.0,Las Palmas,5,10,40.0,4,60.0,15.8,30.2,True,2021-10-01|2021-12-01|2022-01-01|2022-04-01|2025-10-01
iDE,GAMARRA B   30.000,30.0,ÁLAVA,5,12,20.0,4,60.0,15.2,29.6,True,2023-12-21|2024-03-22|2025-01-30|2025-10-01|2025-11-01
iDE,LL.CUART    66.000,66.0,VALENCIA,5,12,20.0,4,60.0,13.9,18.6,True,2024-12-02|2025-02-26|2025-10-01|2025-11-01|2026-03-01
iDE,FUENLABR T2,15.0,MADRID,5,2,20.0,4,60.0,13.4,21.3,True,2024-02-28|2024-06-25|2024-12-02|2025-10-01|2025-11-01
Endesa,CASTELLET,25.0,Tarragona,5,4,20.0,2,60.0,11.5,14.9,True,2022-04-01|2022-06-01|2026-01-01|2026-03-01|2026-05-01
iDE,VALLDIGN T1,20.0,VALENCIA,5,10,40.0,4,80.0,9.6,15.2,True,2023-12-21|2024-09-26|2024-10-29|2025-10-01|2025-11-01
UFD,ARGANDA,15.0,MADRID,5,10,60.0,4,60.0,8.0,14.5,True,2022-02-27|2022-10-23|2024-10-23|2025-10-01|2026-02-01
iDE,VALDERA2 T1,45.0,MADRID,5,4,20.0,4,60.0,7.0,7.4,True,2024-04-29|2024-12-02|2025-10-01|2025-11-01|2026-01-01
iDE,VALDERA2 T1,15.0,MADRID,5,4,20.0,4,60.0,6.8,6.9,True,2024-04-29|2024-12-02|2025-10-01|2025-11-01|2026-01-01
REE,LOS VIENTOS,220.0,,4,3,25.0,2,75.0,519.0,973.0,True,2024-03-01|2024-04-01|2025-05-05|2025-06-02
REE,ALCOCERO DE MOLA,220.0,,4,5,50.0,1,50.0,285.2,777.0,True,2024-01-02|2024-05-16|2025-05-05|2026-02-20
REE,PALOS,220.0,,4,2,50.0,1,50.0,242.0,334.0,True,2024-02-01|2024-08-01|2025-05-05|2026-02-20
REE,LOUSAME,220.0,,4,5,50.0,2,75.0,173.8,399.0,True,2024-05-16|2024-08-01|2025-04-01|2025-05-05
REE,MUNIESA,400.0,,4,2,25.0,1,50.0,159.5,237.0,True,2025-02-03|2025-04-01|2025-05-05|2026-03-02
REE,MANCHEGA,400.0,,4,7,25.0,3,50.0,154.5,209.0,True,2024-07-01|2024-08-01|2025-03-03|2025-12-01
iDE,VINALESA    132.00,132.0,VALENCIA,4,5,25.0,4,75.0,128.1,186.7,True,2024-05-29|2024-12-02|2025-10-01|2025-11-01
REE,PUEBLA DE GUZMAN,220.0,,4,4,25.0,2,50.0,123.8,230.0,True,2025-04-01|2025-08-01|2026-02-20|2026-05-01
iDE,TEULADA     132.00,132.0,ALICANTE,4,6,25.0,4,50.0,122.1,192.4,True,2024-06-25|2024-10-29|2025-01-30|2025-11-01
REE,MUDARRA,400.0,,4,8,25.0,3,50.0,118.5,367.0,True,2024-08-01|2024-12-02|2025-05-05|2025-07-01
iDE,EL PILAR    132.00,132.0,MADRID,4,5,25.0,2,50.0,117.5,221.7,True,2024-05-29|2024-06-25|2025-10-01|2025-11-01
REE,TAFALLA,220.0,,4,5,50.0,2,50.0,89.8,150.0,True,2024-05-16|2025-05-05|2025-07-01|2025-10-01
Endesa,Candasnos,0.00900239,Huesca,4,9,25.0,4,75.0,87.8,87.8,True,2022-09-01|2022-10-01|2022-11-01|2022-12-01
REE,CARIÑENA,400.0,,4,12,50.0,4,50.0,86.2,148.0,True,2024-07-01|2024-12-02|2025-12-01|2026-02-20
REE,REGOELLE,220.0,,4,1,25.0,4,50.0,86.0,201.0,True,2024-01-02|2024-10-01|2024-12-02|2025-06-02
Endesa,Graus,0.35719497,Huesca,4,9,25.0,4,75.0,85.0,85.0,True,2022-09-01|2022-10-01|2022-11-01|2022-12-01
Endesa,Olèrdola,1.69674037,Barcelona,4,9,25.0,4,75.0,85.0,85.0,True,2022-09-01|2022-10-01|2022-11-01|2022-12-01
Endesa,"Vendrell, El",1.50727294,Tarragona,4,9,25.0,4,75.0,85.0,85.0,True,2022-09-01|2022-10-01|2022-11-01|2022-12-01
REE,TERRER,400.0,,4,8,25.0,1,50.0,83.2,201.0,True,2024-08-01|2024-12-02|2025-01-02|2026-02-20
iDE,OLIVA       132.00,132.0,VALENCIA,4,10,25.0,4,75.0,80.4,229.8,True,2024-10-29|2024-12-02|2025-11-01|2026-03-01
REE,ARDOZ,220.0,,4,6,50.0,2,100.0,76.8,143.0,True,2024-04-01|2024-06-03|2025-05-05|2025-06-02
Endesa,S.FOST,110.0,Barcelona,4,8,25.0,2,50.0,74.7,126.5,True,2021-08-01|2022-04-01|2025-10-01|2026-05-01
REE,FACINAS,220.0,,4,12,50.0,4,50.0,74.5,130.0,True,2024-04-01|2024-07-01|2024-12-02|2025-12-01
