distribuidora,subestacion,tension_kv,provincia,n_eventos,mes_top,mes_top_pct,trimestre_top,tri_top_pct,avg_delta_mw,max_delta_mw,patron_claro,fechas_eventos
REE,TELDE,66.0,,3,5,66.7,2,100.0,14.3,23.0,True,2024-04-01|2025-05-05|2026-05-01
iDE,BENIDORM T1,20.0,ALICANTE,3,12,33.3,4,100.0,14.3,18.9,True,2023-12-21|2025-10-01|2025-11-01
Endesa,CENTENAR,66.0,Sevilla,3,4,33.3,2,66.7,14.2,28.3,True,2022-04-01|2022-06-01|2025-12-01
iDE,STMURCIA T1,20.0,MURCIA,3,10,33.3,4,66.7,14.2,16.9,True,2025-10-01|2025-11-01|2026-01-01
Endesa,CBERMEJA,20.0,Málaga,3,10,33.3,1,66.7,14.1,19.5,True,2025-10-01|2026-01-01|2026-03-01
Endesa,S.FELIU,25.0,Barcelona,3,4,33.3,4,66.7,14.0,19.7,True,2022-04-01|2025-10-01|2025-12-01
Endesa,S.FELIU,66.0,Barcelona,3,4,33.3,4,66.7,14.0,19.7,True,2022-04-01|2025-10-01|2025-12-01
Endesa,TELDE,20.0,Las Palmas,3,10,33.3,4,66.7,14.0,17.1,True,2021-10-01|2021-12-01|2022-03-01
iDE,VILLALB2    66.000,66.0,MADRID,3,7,33.3,3,66.7,13.8,24.0,True,2024-07-23|2024-09-26|2024-10-29
Endesa,PALILLOS,66.0,Sevilla,3,8,33.3,4,66.7,13.6,19.4,True,2021-08-01|2021-10-01|2021-12-01
iDE,ESCORIAL T1,20.0,MADRID,3,7,33.3,4,66.7,13.6,14.0,True,2024-07-23|2025-10-01|2025-11-01
Endesa,CIUDAD_J,66.0,Málaga,3,11,33.3,2,66.7,13.5,19.9,True,2021-11-01|2022-04-01|2026-05-01
iDE,T.CANTOS T7,20.0,MADRID,3,2,33.3,4,66.7,13.5,17.8,True,2024-02-28|2025-10-01|2025-11-01
UFD,MOS,15.0,PONTEVEDRA,3,2,33.3,1,66.7,13.4,23.5,True,2022-02-27|2024-07-17|2025-01-27
UFD,VILLALONGA,20.0,PONTEVEDRA,3,2,66.7,1,66.7,13.3,18.1,True,2022-02-27|2025-10-01|2026-02-01
UFD,REDONDELA,66.0,PONTEVEDRA,3,2,33.3,1,66.7,13.1,17.0,True,2022-02-27|2025-01-27|2025-10-01
iDE,FUENCARR    66.000,66.0,MADRID,3,10,66.7,4,66.7,12.9,25.8,True,2024-06-25|2024-10-29|2025-10-03
UFD,STA.CRUZ DE MUDELA,15.0,CIUDAD REAL,3,2,66.7,1,66.7,12.6,23.8,True,2025-02-25|2025-12-01|2026-02-01
iDE,TUDELA      66.000,66.0,NAVARRA,3,1,33.3,1,66.7,12.6,18.2,True,2025-01-30|2025-10-03|2026-03-01
iDE,VALDERA1 T2,15.0,MADRID,3,6,33.3,4,66.7,12.3,19.3,True,2024-06-25|2025-10-01|2025-11-01
iDE,PALMERAL T2,20.0,ALICANTE,3,12,33.3,4,100.0,12.2,14.6,True,2024-12-02|2025-10-01|2025-11-01
iDE,ZARZAQUE T1,15.0,MADRID,3,6,33.3,4,66.7,12.1,19.6,True,2024-06-25|2025-10-01|2025-11-01
iDE,PIALCOR1 T1,15.0,MADRID,3,6,33.3,4,66.7,11.8,19.8,True,2024-06-25|2025-10-01|2025-11-01
iDE,CARRASCA T2,15.0,MADRID,3,6,33.3,4,66.7,11.7,21.1,True,2024-06-25|2025-10-01|2025-11-01
iDE,ESCOLARE T1,15.0,MADRID,3,6,33.3,4,66.7,11.7,21.1,True,2024-06-25|2025-10-01|2025-11-01
iDE,PILAR.M T3,15.0,MADRID,3,10,66.7,4,100.0,11.7,13.0,True,2025-10-01|2025-10-03|2025-11-01
iDE,VILLALBA T3,20.0,MADRID,3,7,33.3,4,66.7,11.7,13.2,True,2024-07-23|2025-10-01|2025-11-01
iDE,ZARZAQUE T4,15.0,MADRID,3,6,33.3,4,66.7,11.7,21.0,True,2024-06-25|2025-10-01|2025-11-01
iDE,CESTUDIA T2,15.0,MADRID,3,6,33.3,4,66.7,11.6,20.9,True,2024-06-25|2025-10-01|2025-11-01
iDE,PIALCOR1 T2,15.0,MADRID,3,6,33.3,4,66.7,11.6,21.1,True,2024-06-25|2025-10-01|2025-11-01
iDE,ZARZAQUE T3,15.0,MADRID,3,6,33.3,4,66.7,11.6,21.0,True,2024-06-25|2025-10-01|2025-11-01
Endesa,P_GRANDE,20.0,Las Palmas,3,12,33.3,4,66.7,11.5,17.2,True,2021-12-01|2022-01-01|2025-10-01
iDE,VALDRREJ T2,15.0,MADRID,3,6,33.3,4,66.7,11.5,21.2,True,2024-06-25|2025-10-01|2025-11-01
iDE,PERATA T1,15.0,MADRID,3,6,33.3,4,66.7,11.4,13.8,True,2024-06-25|2025-10-01|2025-11-01
UFD,CITIPAL,45.0,MADRID,3,2,66.7,1,66.7,11.3,12.5,True,2022-02-27|2023-02-28|2024-05-21
iDE,ALCIRA T4,20.0,VALENCIA,3,12,33.3,4,66.7,11.2,13.4,True,2024-12-02|2025-10-01|2026-01-01
iDE,MELANC.M T41,15.0,MADRID,3,2,33.3,4,66.7,11.1,13.6,True,2024-02-28|2025-10-01|2025-11-01
iDE,TORRENTE T4,20.0,VALENCIA,3,10,33.3,4,66.7,11.0,19.4,True,2025-10-01|2025-11-01|2026-05-01
iDE,PILEGANE T1,15.0,MADRID,3,6,33.3,4,66.7,10.5,19.4,True,2024-06-25|2025-10-01|2025-11-01
UFD,PONTECALDELAS,66.0,PONTEVEDRA,3,2,33.3,1,66.7,10.3,20.0,True,2022-02-27|2023-03-29|2025-10-01
iDE,ANTUSANA T2,45.0,MADRID,3,3,33.3,4,66.7,10.2,13.2,True,2024-03-22|2025-10-01|2025-11-01
iDE,NAVALCAR T2,45.0,MADRID,3,3,33.3,4,66.7,10.2,13.2,True,2024-03-22|2025-10-01|2025-11-01
iDE,XANADU T2,15.0,MADRID,3,3,33.3,4,66.7,10.2,13.2,True,2024-03-22|2025-10-01|2025-11-01
iDE,XANADU T2,45.0,MADRID,3,3,33.3,4,66.7,10.2,13.2,True,2024-03-22|2025-10-01|2025-11-01
iDE,CANTALAR T2,20.0,ALICANTE,3,1,66.7,1,66.7,10.1,10.4,True,2024-01-31|2025-01-30|2025-10-01
Endesa,LOMO_MASP,20.0,Las Palmas,3,3,33.3,2,66.7,10.0,15.9,True,2022-03-01|2022-04-01|2026-05-01
UFD,VALDEMORO 2,15.0,MADRID,3,2,33.3,1,66.7,10.0,10.0,True,2022-02-27|2022-08-28|2023-03-29
iDE,SERNA T1,15.0,MADRID,3,6,33.3,4,66.7,10.0,16.1,True,2024-06-25|2025-10-01|2025-11-01
iDE,SERNA T2,15.0,MADRID,3,6,33.3,4,66.7,10.0,16.1,True,2024-06-25|2025-10-01|2025-11-01
UFD,SAN MARCOS,15.0,LA CORUÑA,3,2,33.3,2,66.7,9.8,13.2,True,2022-02-27|2024-05-21|2024-06-18
iDE,MORVEDRE T1,20.0,VALENCIA,3,4,33.3,4,66.7,9.6,13.5,True,2025-04-11|2025-10-01|2025-11-01
Endesa,CERDANYOLA,25.0,Barcelona,3,4,33.3,4,66.7,9.5,11.8,True,2022-04-01|2025-10-01|2025-12-01
Endesa,RASTRO,66.0,Sevilla,3,4,33.3,2,100.0,9.5,14.7,True,2022-04-01|2022-06-01|2026-05-01
iDE,NAVALAG.    66.000,66.0,MADRID,3,7,33.3,4,66.7,9.5,12.8,True,2024-07-23|2025-10-01|2025-11-01
iDE,ALBAL T1,20.0,VALENCIA,3,2,33.3,4,66.7,9.2,10.9,True,2025-02-26|2025-11-01|2025-12-01
iDE,LISBOA T1,15.0,MADRID,3,6,33.3,4,66.7,9.2,13.5,True,2024-06-25|2025-10-01|2025-11-01
iDE,NAVALAGA T1,20.0,MADRID,3,7,33.3,4,66.7,9.2,11.7,True,2024-07-23|2025-10-01|2025-11-01
iDE,ST ELGEA    30.000,30.0,ÁLAVA,3,10,33.3,4,66.7,9.2,16.0,True,2025-10-01|2025-11-01|2026-03-01
iDE,S.AGUSTI T3,20.0,MADRID,3,12,33.3,4,100.0,9.0,12.0,True,2024-12-02|2025-10-03|2025-11-01
iDE,VALDMLLO    66.000,66.0,MADRID,3,7,33.3,4,66.7,8.9,10.9,True,2024-07-23|2025-10-01|2025-11-01
iDE,LADA        132.00,132.0,ASTURIAS,3,11,66.7,4,100.0,8.7,10.2,True,2024-11-15|2025-10-01|2025-11-01
iDE,LL.CUART T2,20.0,VALENCIA,3,12,33.3,4,100.0,8.6,8.9,True,2024-12-02|2025-10-01|2025-11-01
Endesa,LA_MUELA,15.0,Zaragoza,3,8,33.3,1,66.7,8.5,12.6,True,2021-08-01|2022-02-01|2022-03-01
iDE,PLGNO C A1,45.0,MADRID,3,10,33.3,4,66.7,8.5,9.4,True,2025-10-01|2025-11-01|2026-01-01
UFD,VICALVARO,45.0,MADRID,3,2,33.3,2,66.7,8.4,10.2,True,2022-02-27|2024-04-18|2026-05-01
iDE,BUENAVIS T1,15.0,MADRID,3,10,33.3,4,66.7,8.3,14.1,True,2025-10-03|2025-12-01|2026-05-01
Endesa,CUERVO,15.0,Sevilla,3,11,33.3,1,66.7,8.2,9.8,True,2021-11-01|2022-01-01|2022-02-01
iDE,LISBOA T2,45.0,MADRID,3,2,33.3,4,66.7,8.1,9.7,True,2025-02-26|2025-10-01|2025-11-01
iDE,PERATA T2,45.0,MADRID,3,2,33.3,4,66.7,8.1,9.7,True,2025-02-26|2025-10-01|2025-11-01
Endesa,S_JUAN_P,15.0,Huelva,3,11,33.3,1,66.7,8.0,9.2,True,2021-11-01|2022-01-01|2022-02-01
iDE,PLGNO C B1,45.0,MADRID,3,10,33.3,4,66.7,8.0,9.0,True,2025-10-01|2025-11-01|2026-01-01
Endesa,PERCHEL,20.0,Málaga,3,11,33.3,4,66.7,7.8,9.0,True,2021-11-01|2022-04-01|2025-12-01
Endesa,PERCHEL,66.0,Málaga,3,11,33.3,4,66.7,7.8,9.0,True,2021-11-01|2022-04-01|2025-12-01
iDE,LIRIA T1,20.0,VALENCIA,3,12,33.3,4,100.0,7.5,7.5,True,2024-12-02|2025-10-01|2025-11-01
iDE,BURRIANA    66.000,66.0,CASTELLÓN,3,5,33.3,2,66.7,6.9,10.0,True,2024-05-29|2024-06-25|2024-10-29
iDE,VMEDIANA T2,13.0,LA RIOJA,3,7,33.3,3,66.7,6.8,8.0,True,2024-07-23|2024-09-26|2024-10-29
REE,SAN JORGE,66.0,,3,4,33.3,2,66.7,6.7,7.0,True,2025-04-01|2025-06-02|2025-08-01
Endesa,NIEBLA,15.0,Huelva,3,11,33.3,1,66.7,6.6,9.9,True,2021-11-01|2022-01-01|2022-02-01
iDE,CERCEDIL T2,20.0,MADRID,3,7,33.3,4,66.7,6.5,6.5,True,2024-07-23|2025-10-01|2025-11-01
iDE,LOGRONO T51,13.2,LA RIOJA,3,10,33.3,4,66.7,5.9,7.6,True,2025-10-01|2025-12-01|2026-03-01
iDE,BUENAVIS T2,15.0,MADRID,3,10,33.3,4,66.7,5.7,6.5,True,2025-10-01|2025-12-01|2026-03-01
iDE,NAVALCAR T2,15.0,MADRID,3,6,33.3,4,66.7,5.6,6.1,True,2024-06-25|2025-10-01|2025-11-01
REE,ACECA,220.0,,2,8,50.0,3,50.0,386.0,386.0,True,2024-08-01|2024-11-04
REE,ABADES,400.0,,2,8,50.0,3,50.0,357.0,357.0,True,2024-08-01|2024-12-02
REE,BEARIZ,400.0,,2,1,50.0,1,100.0,352.0,677.0,True,2024-01-02|2024-02-01
REE,ASCÓ,400.0,,2,8,50.0,3,50.0,325.5,399.0,True,2024-08-01|2025-02-03
REE,BEGUES,400.0,,2,12,50.0,4,50.0,295.0,581.0,True,2024-12-02|2025-08-01
REE,ANCHUELO,400.0,,2,8,50.0,3,50.0,275.0,275.0,True,2024-08-01|2024-11-04
iDE,SAGUNTO     132.00,132.0,VALENCIA,2,10,50.0,4,50.0,256.0,326.0,True,2025-10-03|2026-05-01
REE,BARCINA,400.0,,2,8,50.0,3,50.0,200.0,275.0,True,2024-08-01|2024-11-04
REE,TOTANA,400.0,,2,9,50.0,3,50.0,173.5,319.0,True,2025-09-01|2026-02-20
UFD,C.T. NARCEA,132.0,ASTURIAS,2,2,50.0,1,50.0,154.0,154.0,True,2022-02-27|2024-12-17
REE,MORATA,400.0,,2,8,50.0,3,50.0,153.0,153.0,True,2024-08-01|2025-01-02
Endesa,S.LLOGAIA,132.0,Girona,2,10,100.0,4,100.0,127.7,242.3,True,2021-10-01|2025-10-01
REE,BARATARIA,400.0,,2,8,50.0,3,50.0,126.0,126.0,True,2024-08-01|2024-12-02
REE,SEGOVIA,400.0,,2,4,50.0,2,50.0,123.0,196.0,True,2025-04-01|2026-02-20
REE,MIRANDA DE EBRO,220.0,,2,6,50.0,2,50.0,119.5,180.0,True,2025-06-02|2026-02-20
REE,MAS FIGUERES,220.0,,2,1,50.0,1,100.0,116.5,150.0,True,2024-01-02|2024-02-01
Endesa,S.BOI,110.0,Barcelona,2,4,50.0,2,50.0,113.4,210.5,True,2022-04-01|2025-10-01
REE,PIEROLA,400.0,,2,2,50.0,1,50.0,109.5,200.0,True,2024-02-01|2025-07-01
REE,COTORROS,400.0,,2,8,50.0,3,50.0,108.0,108.0,True,2024-08-01|2024-12-02
REE,PUERTOLLANO,220.0,,2,8,50.0,3,50.0,107.0,130.0,True,2024-08-01|2024-12-02
iDE,RETAMAR F1     45.000,45.0,MADRID,2,10,50.0,4,100.0,106.7,106.8,True,2025-10-01|2025-11-01
REE,TRES CANTOS GIS,220.0,,2,10,50.0,4,100.0,104.5,129.0,True,2025-10-01|2025-12-01
REE,PEÑAFLOR,400.0,,2,8,50.0,3,50.0,100.0,100.0,True,2024-08-01|2024-12-02
REE,QUEREÑO,220.0,,2,1,50.0,1,50.0,99.5,120.0,True,2024-01-02|2026-05-01
REE,FUENDETODOS,400.0,,2,7,50.0,3,50.0,98.5,148.0,True,2024-07-01|2025-02-03
REE,VALDEMORO,220.0,,2,12,50.0,4,50.0,95.5,105.0,True,2025-12-01|2026-02-20
Endesa,TARRAGONA,110.0,Tarragona,2,12,50.0,4,50.0,95.0,137.3,True,2025-12-01|2026-03-01
REE,SOLORZANO,220.0,,2,1,50.0,1,100.0,93.0,149.0,True,2024-01-02|2024-03-01
Endesa,LLOBREGAT,110.0,Barcelona,2,4,50.0,2,50.0,91.3,168.4,True,2022-04-01|2025-10-01
Endesa,MATA,11.0,Barcelona,2,9,50.0,3,50.0,91.3,171.5,True,2021-09-01|2022-04-01
Endesa,VILLFRAG,66.0,Málaga,2,10,50.0,4,50.0,88.9,98.6,True,2025-10-01|2026-03-01
REE,MARIA,220.0,,2,2,50.0,1,50.0,82.5,85.0,True,2025-02-03|2025-06-02
REE,JOSE CABRERA,220.0,,2,5,50.0,2,50.0,81.5,86.0,True,2025-05-05|2026-03-02
REE,TREVAGO,220.0,,2,4,50.0,2,50.0,81.5,100.0,True,2024-04-01|2024-12-02
iDE,RETAMAR B1  45.000,45.0,MADRID,2,10,50.0,4,100.0,79.9,79.9,True,2025-10-01|2025-11-01
REE,REQUENA,400.0,,2,11,50.0,4,50.0,79.5,116.0,True,2024-11-04|2025-03-03
REE,PRADILLOS,220.0,,2,4,50.0,2,50.0,76.5,132.0,True,2025-04-01|2025-10-01
REE,MAGALLON,220.0,,2,2,50.0,1,100.0,75.5,144.0,True,2025-02-03|2026-03-02
iDE,RETAMAR A1  45.000,45.0,MADRID,2,10,50.0,4,100.0,75.5,78.0,True,2025-10-01|2025-11-01
iDE,FORTUNA B1    45.000,45.0,MADRID,2,10,50.0,4,100.0,75.2,75.2,True,2025-10-01|2025-11-01
REE,CORNATEL,220.0,,2,5,50.0,2,50.0,75.0,87.0,True,2025-05-05|2026-02-20
iDE,SAGUNTO     66.000,66.0,VALENCIA,2,10,50.0,4,100.0,73.5,126.0,True,2025-10-03|2025-12-01
iDE,VILLAVERDE A1  45.000,45.0,MADRID,2,10,50.0,4,100.0,73.4,73.4,True,2025-10-01|2025-11-01
Endesa,PTO_REAL,132.0,Cádiz,2,2,50.0,1,50.0,72.4,96.5,True,2022-02-01|2025-10-01
REE,ATARFE,220.0,,2,11,50.0,4,50.0,71.0,91.0,True,2024-11-04|2025-09-01
iDE,MELANCOL,45.0,MADRID,2,10,50.0,4,100.0,70.7,70.8,True,2025-10-01|2025-11-01
REE,BUNIEL,400.0,,2,7,50.0,3,50.0,70.0,70.0,True,2025-07-01|2025-12-01
REE,TORDESILLAS,220.0,,2,2,100.0,1,100.0,70.0,96.0,True,2024-02-01|2026-02-20
Endesa,ABELLO,66.0,Cádiz,2,3,50.0,1,50.0,68.3,91.7,True,2022-03-01|2022-04-01
iDE,FORTUNA A1    45.000,45.0,MADRID,2,10,50.0,4,100.0,68.1,68.1,True,2025-10-01|2025-11-01
REE,EL SEQUERO,220.0,,2,11,50.0,4,50.0,68.0,91.0,True,2024-11-04|2025-06-02
iDE,PSTODOMI,45.0,MADRID,2,10,50.0,4,100.0,66.5,71.5,True,2025-10-01|2025-11-01
UFD,EL CASTRO,132.0,PONTEVEDRA,2,2,50.0,1,100.0,66.3,100.0,True,2022-02-27|2025-01-27
REE,ORMAIZTEGUI,220.0,,2,5,50.0,2,50.0,66.0,102.0,True,2024-05-16|2024-10-01
REE,TORREJON DE VELASCO,400.0,,2,6,50.0,2,100.0,64.5,82.0,True,2024-06-03|2025-05-05
Endesa,CUERVO,66.0,Sevilla,2,4,50.0,2,50.0,63.0,113.1,True,2022-04-01|2025-10-01
Endesa,S.COLOMA,132.0,Barcelona,2,4,50.0,2,50.0,62.0,100.8,True,2022-04-01|2025-10-01
UFD,MORAL DE CALATRAVA,132.0,CIUDAD REAL,2,2,100.0,1,100.0,60.0,60.0,True,2025-02-25|2026-02-01
UFD,SARDOMA,132.0,PONTEVEDRA,2,2,50.0,1,100.0,58.3,92.0,True,2022-02-27|2025-01-27
Endesa,SALT,132.0,Girona,2,4,50.0,2,50.0,58.2,102.0,True,2022-04-01|2026-03-01
Endesa,VALENCIA,66.0,Cádiz,2,2,50.0,1,50.0,58.2,74.0,True,2022-02-01|2022-04-01
REE,MANGRANERS,220.0,,2,4,50.0,2,50.0,58.0,111.0,True,2024-04-01|2025-02-03
REE,SANT BOI,220.0,,2,2,50.0,1,50.0,57.5,100.0,True,2024-02-01|2024-07-01
REE,FONTEFRIA,220.0,,2,3,50.0,1,50.0,57.0,62.0,True,2024-03-01|2025-08-01
REE,SANTA ENGRACIA,400.0,,2,10,50.0,4,50.0,56.5,67.0,True,2025-10-01|2026-02-20
REE,CABRA,400.0,,2,1,50.0,1,100.0,55.5,73.0,True,2024-01-02|2026-02-20
UFD,PUENTE DE SAN FERNANDO,45.0,MADRID,2,2,50.0,1,50.0,54.8,59.5,True,2022-02-27|2024-06-18
Endesa,S_DOMING,66.0,Cádiz,2,2,50.0,1,50.0,54.5,99.5,True,2022-02-01|2022-04-01
Endesa,VALENZUELA,45.0,Zaragoza,2,12,50.0,4,50.0,54.5,58.9,True,2021-12-01|2022-04-01
Endesa,CAMPANIL,66.0,Málaga,2,10,50.0,4,50.0,53.5,58.1,True,2025-10-01|2026-03-01
REE,CATADAU,400.0,,2,10,50.0,4,50.0,53.0,56.0,True,2024-10-01|2025-08-01
UFD,SABON,132.0,LA CORUÑA,2,2,100.0,1,100.0,52.5,75.1,True,2022-02-27|2026-02-01
Endesa,CAMPANIL,20.0,Málaga,2,10,50.0,4,50.0,50.9,55.7,True,2025-10-01|2026-03-01
iDE,TCANTOS B1   66.000,66.0,MADRID,2,10,50.0,4,100.0,50.8,51.5,True,2025-10-03|2025-11-01
iDE,PSTODOMI    45.000,45.0,MADRID,2,6,50.0,2,50.0,50.3,95.2,True,2024-06-25|2025-01-30
REE,CARMONA,400.0,,2,9,50.0,3,50.0,50.0,70.0,True,2025-09-01|2025-12-01
REE,GALAPAGAR,220.0,,2,2,100.0,1,100.0,50.0,50.0,True,2024-02-01|2026-02-20
UFD,CAMPO NACIONES NUEVO,45.0,MADRID,2,2,50.0,1,50.0,50.0,50.0,True,2022-02-27|2024-12-17
UFD,SAN FERNANDO,45.0,MADRID,2,2,50.0,1,50.0,50.0,63.0,True,2022-02-27|2024-06-18
REE,SANTA LLOGAIA,400.0,,2,9,50.0,3,50.0,47.5,65.0,True,2024-09-02|2026-05-01
Endesa,ILURO,110.0,Barcelona,2,4,50.0,2,50.0,45.6,49.8,True,2022-04-01|2025-10-01
iDE,LEGANES   45,45.0,MADRID,2,3,50.0,1,50.0,45.5,48.1,True,2024-03-22|2024-04-29
iDE,GALAPAG A2    66.000,66.0,MADRID,2,10,50.0,4,100.0,45.3,45.3,True,2025-10-01|2025-11-01
Endesa,SAGUNTO,45.0,Zaragoza,2,9,50.0,3,50.0,43.5,46.5,True,2021-09-01|2021-11-01
REE,PENEDES,220.0,,2,5,50.0,2,50.0,43.5,44.0,True,2025-05-05|2025-10-01
iDE,MASALFAS    66.000,66.0,VALENCIA,2,10,50.0,4,50.0,42.9,70.8,True,2025-10-03|2026-03-01
iDE,ESCORIAL A1 66.000,66.0,MADRID,2,10,50.0,4,100.0,42.4,42.4,True,2025-10-01|2025-11-01
Endesa,ALHAURIN,66.0,Málaga,2,4,50.0,2,50.0,40.7,65.6,True,2022-04-01|2026-03-01
REE,TOMEZA,220.0,,2,2,50.0,1,50.0,40.5,41.0,True,2025-02-03|2025-12-01
Endesa,RINCO_V,132.0,Málaga,2,10,50.0,4,50.0,40.0,44.5,True,2025-10-01|2026-03-01
Endesa,RINCO_V,20.0,Málaga,2,10,50.0,4,50.0,40.0,44.5,True,2025-10-01|2026-03-01
REE,PAZOS DE BORBEN,220.0,,2,8,100.0,3,100.0,40.0,70.0,True,2024-08-01|2025-08-01
REE,SAN SERVAN,220.0,,2,5,50.0,2,50.0,40.0,40.0,True,2025-05-05|2025-10-01
REE,MEDINA DEL CAMPO,220.0,,2,8,50.0,3,50.0,39.5,44.0,True,2024-08-01|2025-04-01
iDE,SMR EUST BA3,45.0,MADRID,2,10,50.0,4,100.0,39.0,39.0,True,2025-10-01|2025-11-01
iDE,EMBAJADO T2,45.0,MADRID,2,10,50.0,4,100.0,38.9,38.9,True,2025-10-01|2025-11-01
iDE,MORALZAR A2  66.000,66.0,MADRID,2,10,50.0,4,100.0,38.6,38.6,True,2025-10-01|2025-11-01
Endesa,CHICLANA,66.0,Cádiz,2,8,50.0,3,50.0,38.5,60.8,True,2021-08-01|2022-04-01
Endesa,GUADALCA,66.0,Cádiz,2,11,50.0,4,50.0,38.5,40.6,True,2021-11-01|2022-02-01
REE,ANDRATX,66.0,,2,9,50.0,3,50.0,38.5,67.0,True,2024-09-02|2025-01-02
REE,GRIJOTA,400.0,,2,1,50.0,1,50.0,38.5,47.0,True,2025-01-02|2025-09-01
REE,TABARA,400.0,,2,1,50.0,1,50.0,38.5,50.0,True,2025-01-02|2025-07-01
Endesa,TORREMAR,20.0,Málaga,2,10,50.0,4,50.0,37.9,67.3,True,2025-10-01|2026-01-01
Endesa,TORREMAR,66.0,Málaga,2,10,50.0,4,50.0,37.9,67.3,True,2025-10-01|2026-01-01
REE,CANILLEJAS,220.0,,2,3,50.0,1,100.0,37.5,40.0,True,2024-03-01|2025-01-02
REE,GUIXERES,220.0,,2,4,50.0,2,50.0,37.5,55.0,True,2024-04-01|2024-08-01
REE,TRES CANTOS,220.0,,2,5,50.0,2,50.0,37.0,50.0,True,2025-05-05|2025-12-01
Endesa,RIPOLL,132.0,Girona,2,10,50.0,4,50.0,36.7,66.5,True,2025-10-01|2026-05-01
UFD,MOS,132.0,PONTEVEDRA,2,2,50.0,1,100.0,36.3,60.0,True,2022-02-27|2025-01-27
iDE,OLVIDO T1,45.0,MADRID,2,10,50.0,4,100.0,36.3,39.0,True,2025-10-01|2025-11-01
iDE,SMR EUST BA2,45.0,MADRID,2,10,50.0,4,100.0,36.3,39.0,True,2025-10-01|2025-11-01
REE,TABERNAS,220.0,,2,2,50.0,1,50.0,36.0,40.0,True,2026-02-20|2026-05-01
iDE,ESCORIAL    66.000,66.0,MADRID,2,7,50.0,3,50.0,35.9,37.0,True,2024-07-23|2024-10-29
REE,BARRANCO SECO,66.0,,2,1,50.0,1,50.0,35.5,47.0,True,2024-01-02|2024-11-04
REE,PEÑADRADA,220.0,,2,7,50.0,3,50.0,35.0,41.0,True,2025-07-01|2026-03-02
UFD,CANILLEJAS,45.0,MADRID,2,2,50.0,1,50.0,35.0,35.0,True,2022-02-27|2024-05-21
iDE,PCENTRAL T3,11.0,VALENCIA,2,10,50.0,4,100.0,35.0,35.0,True,2025-10-01|2025-11-01
iDE,DEPORTIV T2,20.0,MADRID,2,10,50.0,4,100.0,34.9,34.9,True,2025-10-01|2025-11-01
iDE,DEPORTIV T1,20.0,MADRID,2,10,50.0,4,100.0,34.8,34.8,True,2025-10-01|2025-11-01
iDE,BENIFERRI T2,20.0,VALENCIA,2,10,50.0,4,100.0,34.7,34.7,True,2025-10-01|2025-11-01
Endesa,VILLFRAG,20.0,Málaga,2,10,50.0,4,50.0,34.5,48.0,True,2025-10-01|2026-03-01
iDE,INGENIO T4,20.0,CASTELLÓN,2,10,50.0,4,100.0,34.5,34.5,True,2025-10-01|2025-11-01
iDE,PALMERAL T3,20.0,ALICANTE,2,10,50.0,4,100.0,34.3,34.3,True,2025-10-01|2025-11-01
Endesa,TORRERO,45.0,Zaragoza,2,11,50.0,4,50.0,34.2,34.9,True,2021-11-01|2022-05-01
iDE,SANCHINA T1,20.0,MADRID,2,10,50.0,4,100.0,33.6,34.7,True,2025-10-01|2025-11-01
iDE,BENICULL T2,20.0,VALENCIA,2,10,50.0,4,100.0,33.2,33.2,True,2025-10-01|2025-11-01
iDE,BENIFERRI T1,20.0,VALENCIA,2,10,50.0,4,100.0,33.2,33.6,True,2025-10-01|2025-11-01
iDE,PCENTRAL T1,20.0,VALENCIA,2,10,50.0,4,100.0,33.2,35.0,True,2025-10-01|2025-11-01
UFD,LASTRAS DEL POZO,45.0,SEGOVIA,2,2,50.0,1,50.0,33.1,35.0,True,2025-02-25|2025-12-01
REE,CAÑAVERAL,400.0,,2,2,50.0,1,50.0,33.0,33.0,True,2026-02-20|2026-05-01
REE,TARRAGONA,220.0,,2,5,50.0,2,50.0,33.0,45.0,True,2024-05-16|2024-08-01
iDE,CERCEDILL A2 66.000,66.0,MADRID,2,10,50.0,4,100.0,33.0,33.0,True,2025-10-01|2025-11-01
iDE,ST LASAO    30.000,30.0,GUIPÚZCOA,2,10,50.0,4,50.0,33.0,33.0,True,2025-10-03|2026-05-01
Endesa,COLLBLANC,110.0,Barcelona,2,4,50.0,2,50.0,32.9,53.2,True,2022-04-01|2026-03-01
REE,OLMEDO,400.0,,2,3,50.0,1,50.0,32.5,50.0,True,2024-03-01|2024-08-01
iDE,MORALZAR2   66.000,66.0,MADRID,2,7,50.0,3,100.0,32.1,40.7,True,2024-07-23|2024-09-26
Endesa,BUIXALLEU,132.0,Girona,2,4,50.0,2,50.0,32.0,50.7,True,2022-04-01|2025-10-01
iDE,AGUACATE T1,15.0,MADRID,2,10,50.0,4,100.0,31.9,35.0,True,2025-10-01|2025-11-01
iDE,CERCEDIL    66.000,66.0,MADRID,2,7,50.0,3,50.0,31.9,32.0,True,2024-07-23|2024-10-29
UFD,SALVATERRA,20.0,PONTEVEDRA,2,1,50.0,1,100.0,31.8,40.5,True,2025-01-27|2026-02-01
iDE,PATRAIX T2,20.0,VALENCIA,2,10,50.0,4,100.0,31.8,34.9,True,2025-10-01|2025-11-01
REE,LA ESPLUGA,400.0,,2,2,50.0,1,100.0,31.5,34.0,True,2025-02-03|2025-03-03
